"Timestamp","1. อายุ______(กรอก)ปี","2. เพศ","3. ระดับการศึกษาของท่านคือระดับใด ?","4. ท่านใช้สมาร์ทโฟนในชีวิตประจำวันบ่อยแค่ไหน?","5. ท่านใช้สมาร์ทโฟนในแต่ละวันประมาณกี่ชั่วโมงสำหรับกิจกรรมต่าง ๆ (เช่น การดูโซเชียลมีเดีย การโทร การดูวิดีโอ การทำงาน หรือกิจกรรมอื่น ๆ)?","6. การใช้สมาร์ทโฟนมีผลต่อการสื่อสารระหว่างท่านกับผู้อื่นอย่างไร?","7. การใช้สมาร์ทโฟนมีผลต่อความสัมพันธ์ทางสังคมของท่านกับเพื่อนหรือครอบครัวอย่างไร?","8. ท่านใช้สมาร์ทโฟนในการเรียนรู้หรือพัฒนาทักษะใหม่ ๆ (เช่น การดูวิดีโอการศึกษา การใช้งานแอปพลิเคชันการเรียนรู้ หรือการค้นคว้าข้อมูลทางออนไลน์) หรือไม่?","9. ท่านคิดว่าการใช้สมาร์ทโฟนมากเกินไปมีผลต่อความสัมพันธ์หรือการติดต่อสื่อสารกับคนรอบข้างของท่านอย่างไร?","10. ระบบปฏิบัติการสมาร์ทโฟนที่ท่านใช้:"
"2025/02/11 11:49:53 PM GMT+7","20","หญิง","ปริญญาตรี","ใช้ทุกวัน แต่ไม่ใช่ตลอดเวลา","มากกว่า 10 ชั่วโมง","ช่วยให้การสื่อสารชัดเจนและเข้าใจง่ายขึ้น","ทำให้ความสัมพันธ์ดีขึ้น (เช่น การสามารถติดต่อสื่อสารได้บ่อยขึ้น หรือสร้างความใกล้ชิดกับคนในครอบครัวและเพื่อน)","ใช่, ใช้สมาร์ทโฟนเพื่อการเรียนรู้หรือพัฒนาทักษะใหม่ ๆ ทุกวัน","มีทั้งผลดีและผลเสีย (เช่น การติดต่อบ่อยขึ้นแต่ก็อาจทำให้การพูดคุยไม่ลึกซึ้ง)","iOS (Apple)"
"2025/02/11 11:56:02 PM GMT+7","20","ชาย","ปริญญาตรี","ใช้ทุกวัน แต่ไม่ใช่ตลอดเวลา","4 - 6 ชั่วโมง","ช่วยให้ติดต่อสื่อสารได้สะดวกและบ่อยขึ้น","ไม่มีผลต่อความสัมพันธ์ (เช่น การใช้สมาร์ทโฟนไม่ได้ทำให้ความสัมพันธ์กับเพื่อนหรือครอบครัวดีขึ้นหรือแย่ลง)","ใช่, ใช้สมาร์ทโฟนเพื่อการเรียนรู้หรือพัฒนาทักษะใหม่ ๆ ทุกวัน","ทำให้ความสัมพันธ์ดีขึ้น (เช่น สามารถติดต่อสื่อสารได้บ่อยขึ้น หรือมีการพูดคุยมากขึ้น)","Android (เช่น Samsung, Oppo, Xiaomi เป็นต้น)"
"2025/02/11 11:56:53 PM GMT+7","18","หญิง","ปริญญาตรี","ใช้ทุกวัน แต่ไม่ใช่ตลอดเวลา","4 - 6 ชั่วโมง","ช่วยให้ติดต่อสื่อสารได้สะดวกและบ่อยขึ้น","ไม่มีผลต่อความสัมพันธ์ (เช่น การใช้สมาร์ทโฟนไม่ได้ทำให้ความสัมพันธ์กับเพื่อนหรือครอบครัวดีขึ้นหรือแย่ลง)","ใช่, ใช้สมาร์ทโฟนเพื่อการเรียนรู้หรือพัฒนาทักษะใหม่ ๆ ทุกวัน","ไม่มีผลต่อความสัมพันธ์หรือการติดต่อสื่อสาร","iOS (Apple)"
"2025/02/11 11:58:02 PM GMT+7","19","ชาย","มัธยมศึกษาตอนปลาย","ใช้ทุกวัน แต่ไม่ใช่ตลอดเวลา","4 - 6 ชั่วโมง","ช่วยให้การสื่อสารชัดเจนและเข้าใจง่ายขึ้น","ไม่มีผลต่อความสัมพันธ์ (เช่น การใช้สมาร์ทโฟนไม่ได้ทำให้ความสัมพันธ์กับเพื่อนหรือครอบครัวดีขึ้นหรือแย่ลง)","ใช่, ใช้สมาร์ทโฟนเพื่อการเรียนรู้หรือพัฒนาทักษะใหม่ ๆ บ่อยครั้ง","ส่งผลให้ความสัมพันธ์แย่ลง (เช่น ขาดการสนทนา face-to-face หรือมีปัญหาการเข้าใจซึ่งกันและกัน)","iOS (Apple)"
"2025/02/11 11:58:14 PM GMT+7","22","ชาย","ปริญญาตรี","ใช้หลายครั้งต่อวัน ทั้งในการทำกิจกรรมต่าง ๆ และสื่อสารกับผู้อื่น","มากกว่า 10 ชั่วโมง","ช่วยให้การสื่อสารชัดเจนและเข้าใจง่ายขึ้น","ทำให้ความสัมพันธ์ดีขึ้น (เช่น การสามารถติดต่อสื่อสารได้บ่อยขึ้น หรือสร้างความใกล้ชิดกับคนในครอบครัวและเพื่อน)","ใช่, ใช้สมาร์ทโฟนเพื่อการเรียนรู้หรือพัฒนาทักษะใหม่ ๆ ทุกวัน","ทำให้ความสัมพันธ์ดีขึ้น (เช่น สามารถติดต่อสื่อสารได้บ่อยขึ้น หรือมีการพูดคุยมากขึ้น)","iOS (Apple)"
"2025/02/11 11:59:17 PM GMT+7","23","ชาย","ปริญญาตรี","ใช้หลายครั้งต่อวัน ทั้งในการทำกิจกรรมต่าง ๆ และสื่อสารกับผู้อื่น","7 - 10 ชั่วโมง","ช่วยให้ติดต่อสื่อสารได้สะดวกและบ่อยขึ้น","ทำให้ความสัมพันธ์ดีขึ้น (เช่น การสามารถติดต่อสื่อสารได้บ่อยขึ้น หรือสร้างความใกล้ชิดกับคนในครอบครัวและเพื่อน)","ใช่, ใช้สมาร์ทโฟนเพื่อการเรียนรู้หรือพัฒนาทักษะใหม่ ๆ บ่อยครั้ง","มีทั้งผลดีและผลเสีย (เช่น การติดต่อบ่อยขึ้นแต่ก็อาจทำให้การพูดคุยไม่ลึกซึ้ง)","iOS (Apple)"
"2025/02/11 11:59:20 PM GMT+7","19","ชาย","ปริญญาตรี","ใช้ทุกวัน แต่ไม่ใช่ตลอดเวลา","4 - 6 ชั่วโมง","ช่วยให้การสื่อสารชัดเจนและเข้าใจง่ายขึ้น","ทำให้ความสัมพันธ์ดีขึ้น (เช่น การสามารถติดต่อสื่อสารได้บ่อยขึ้น หรือสร้างความใกล้ชิดกับคนในครอบครัวและเพื่อน)","ใช่, ใช้สมาร์ทโฟนเพื่อการเรียนรู้หรือพัฒนาทักษะใหม่ ๆ บ่อยครั้ง","ไม่มีผลต่อความสัมพันธ์หรือการติดต่อสื่อสาร","Android (เช่น Samsung, Oppo, Xiaomi เป็นต้น)"
"2025/02/11 11:59:22 PM GMT+7","19","ชาย","ปริญญาตรี","ใช้ทุกวัน แต่ไม่ใช่ตลอดเวลา","1 - 3 ชั่วโมง","ทำให้เกิดความเข้าใจผิดหรือสื่อสารได้ไม่ชัดเจน","ทำให้ความสัมพันธ์แย่ลง (เช่น การใช้สมาร์ทโฟนทำให้เสียเวลาพูดคุยกันตัวต่อตัว หรือทำให้การสื่อสารไม่เป็นไปตามที่คาดหวัง)","ไม่เคยใช้สมาร์ทโฟนในการเรียนรู้หรือพัฒนาทักษะใหม่ ๆ","ไม่มีผลต่อความสัมพันธ์หรือการติดต่อสื่อสาร","iOS (Apple)"
"2025/02/11 11:59:24 PM GMT+7","20","ชาย","ปริญญาตรี","ใช้บ้างในบางวัน ขึ้นอยู่กับสถานการณ์","4 - 6 ชั่วโมง","ช่วยให้การสื่อสารชัดเจนและเข้าใจง่ายขึ้น","ทำให้ความสัมพันธ์ดีขึ้น (เช่น การสามารถติดต่อสื่อสารได้บ่อยขึ้น หรือสร้างความใกล้ชิดกับคนในครอบครัวและเพื่อน)","ใช่, ใช้สมาร์ทโฟนเพื่อการเรียนรู้หรือพัฒนาทักษะใหม่ ๆ ทุกวัน","มีทั้งผลดีและผลเสีย (เช่น การติดต่อบ่อยขึ้นแต่ก็อาจทำให้การพูดคุยไม่ลึกซึ้ง)","Android (เช่น Samsung, Oppo, Xiaomi เป็นต้น)"
"2025/02/11 11:59:38 PM GMT+7","21","ชาย","มัธยมศึกษาตอนต้น","ใช้ทุกวัน แต่ไม่ใช่ตลอดเวลา","น้อยกว่า 1 ชั่วโมง","ช่วยให้การสื่อสารชัดเจนและเข้าใจง่ายขึ้น","ทำให้ความสัมพันธ์ดีขึ้น (เช่น การสามารถติดต่อสื่อสารได้บ่อยขึ้น หรือสร้างความใกล้ชิดกับคนในครอบครัวและเพื่อน)","ใช่, ใช้สมาร์ทโฟนเพื่อการเรียนรู้หรือพัฒนาทักษะใหม่ ๆ บ่อยครั้ง","ส่งผลให้ความสัมพันธ์แย่ลง (เช่น ขาดการสนทนา face-to-face หรือมีปัญหาการเข้าใจซึ่งกันและกัน)","iOS (Apple)"
"2025/02/12 12:01:57 AM GMT+7","19","ชาย","ปริญญาตรี","ใช้ทุกวัน แต่ไม่ใช่ตลอดเวลา","4 - 6 ชั่วโมง","ช่วยให้การสื่อสารชัดเจนและเข้าใจง่ายขึ้น","ทำให้ความสัมพันธ์ดีขึ้น (เช่น การสามารถติดต่อสื่อสารได้บ่อยขึ้น หรือสร้างความใกล้ชิดกับคนในครอบครัวและเพื่อน)","ใช่, ใช้สมาร์ทโฟนเพื่อการเรียนรู้หรือพัฒนาทักษะใหม่ ๆ ทุกวัน","ส่งผลให้ความสัมพันธ์แย่ลง (เช่น ขาดการสนทนา face-to-face หรือมีปัญหาการเข้าใจซึ่งกันและกัน)","iOS (Apple)"
"2025/02/12 12:02:25 AM GMT+7","21","ชาย","ปริญญาตรี","ใช้ทุกวัน แต่ไม่ใช่ตลอดเวลา","1 - 3 ชั่วโมง","ช่วยให้การสื่อสารชัดเจนและเข้าใจง่ายขึ้น","ทำให้ความสัมพันธ์ดีขึ้น (เช่น การสามารถติดต่อสื่อสารได้บ่อยขึ้น หรือสร้างความใกล้ชิดกับคนในครอบครัวและเพื่อน)","ใช่, ใช้สมาร์ทโฟนเพื่อการเรียนรู้หรือพัฒนาทักษะใหม่ ๆ ทุกวัน","ไม่มีผลต่อความสัมพันธ์หรือการติดต่อสื่อสาร","iOS (Apple)"
"2025/02/12 12:03:13 AM GMT+7","21","ชาย","ปริญญาตรี","ใช้บ้างในบางวัน ขึ้นอยู่กับสถานการณ์","1 - 3 ชั่วโมง","ช่วยให้ติดต่อสื่อสารได้สะดวกและบ่อยขึ้น","ไม่มีผลต่อความสัมพันธ์ (เช่น การใช้สมาร์ทโฟนไม่ได้ทำให้ความสัมพันธ์กับเพื่อนหรือครอบครัวดีขึ้นหรือแย่ลง)","ใช่, ใช้สมาร์ทโฟนเพื่อการเรียนรู้หรือพัฒนาทักษะใหม่ ๆ บ่อยครั้ง","มีทั้งผลดีและผลเสีย (เช่น การติดต่อบ่อยขึ้นแต่ก็อาจทำให้การพูดคุยไม่ลึกซึ้ง)","Android (เช่น Samsung, Oppo, Xiaomi เป็นต้น)"
"2025/02/12 12:05:42 AM GMT+7","20","ชาย","ปริญญาตรี","ใช้หลายครั้งต่อวัน ทั้งในการทำกิจกรรมต่าง ๆ และสื่อสารกับผู้อื่น","มากกว่า 10 ชั่วโมง","ไม่มีผลกระทบต่อการสื่อสาร","ไม่มีผลต่อความสัมพันธ์ (เช่น การใช้สมาร์ทโฟนไม่ได้ทำให้ความสัมพันธ์กับเพื่อนหรือครอบครัวดีขึ้นหรือแย่ลง)","ใช่, ใช้สมาร์ทโฟนในการเรียนรู้หรือพัฒนาทักษะใหม่ ๆ แต่ไม่บ่อย","ไม่มีผลต่อความสัมพันธ์หรือการติดต่อสื่อสาร","iOS (Apple)"
"2025/02/12 12:10:16 AM GMT+7","19","ชาย","ปริญญาตรี","ใช้ทุกวัน แต่ไม่ใช่ตลอดเวลา","4 - 6 ชั่วโมง","ไม่มีผลกระทบต่อการสื่อสาร","ไม่มีผลต่อความสัมพันธ์ (เช่น การใช้สมาร์ทโฟนไม่ได้ทำให้ความสัมพันธ์กับเพื่อนหรือครอบครัวดีขึ้นหรือแย่ลง)","ไม่เคยใช้สมาร์ทโฟนในการเรียนรู้หรือพัฒนาทักษะใหม่ ๆ","ส่งผลให้ความสัมพันธ์แย่ลง (เช่น ขาดการสนทนา face-to-face หรือมีปัญหาการเข้าใจซึ่งกันและกัน)","Android (เช่น Samsung, Oppo, Xiaomi เป็นต้น)"
"2025/02/12 4:31:42 AM GMT+7","19","หญิง","ปริญญาตรี","ใช้ทุกวัน แต่ไม่ใช่ตลอดเวลา","4 - 6 ชั่วโมง","ช่วยให้การสื่อสารชัดเจนและเข้าใจง่ายขึ้น","ทำให้ความสัมพันธ์ดีขึ้น (เช่น การสามารถติดต่อสื่อสารได้บ่อยขึ้น หรือสร้างความใกล้ชิดกับคนในครอบครัวและเพื่อน)","ใช่, ใช้สมาร์ทโฟนเพื่อการเรียนรู้หรือพัฒนาทักษะใหม่ ๆ ทุกวัน","ส่งผลให้ความสัมพันธ์แย่ลง (เช่น ขาดการสนทนา face-to-face หรือมีปัญหาการเข้าใจซึ่งกันและกัน)","iOS (Apple)"
"2025/02/12 4:33:36 AM GMT+7","19","หญิง","ปริญญาตรี","ใช้ทุกวัน แต่ไม่ใช่ตลอดเวลา","4 - 6 ชั่วโมง","ช่วยให้การสื่อสารชัดเจนและเข้าใจง่ายขึ้น","ทำให้ความสัมพันธ์ดีขึ้น (เช่น การสามารถติดต่อสื่อสารได้บ่อยขึ้น หรือสร้างความใกล้ชิดกับคนในครอบครัวและเพื่อน)","ใช่, ใช้สมาร์ทโฟนเพื่อการเรียนรู้หรือพัฒนาทักษะใหม่ ๆ ทุกวัน","ส่งผลให้ความสัมพันธ์แย่ลง (เช่น ขาดการสนทนา face-to-face หรือมีปัญหาการเข้าใจซึ่งกันและกัน)","iOS (Apple)"
"2025/02/12 6:16:55 AM GMT+7","19","ชาย","ปริญญาตรี","ใช้บ้างในบางวัน ขึ้นอยู่กับสถานการณ์","4 - 6 ชั่วโมง","ช่วยให้ติดต่อสื่อสารได้สะดวกและบ่อยขึ้น","ทำให้ความสัมพันธ์ดีขึ้น (เช่น การสามารถติดต่อสื่อสารได้บ่อยขึ้น หรือสร้างความใกล้ชิดกับคนในครอบครัวและเพื่อน)","ใช่, ใช้สมาร์ทโฟนเพื่อการเรียนรู้หรือพัฒนาทักษะใหม่ ๆ ทุกวัน","ส่งผลให้ความสัมพันธ์แย่ลง (เช่น ขาดการสนทนา face-to-face หรือมีปัญหาการเข้าใจซึ่งกันและกัน)","Android (เช่น Samsung, Oppo, Xiaomi เป็นต้น)"
"2025/02/12 6:23:12 AM GMT+7","18","ชาย","ปริญญาตรี","ใช้หลายครั้งต่อวัน ทั้งในการทำกิจกรรมต่าง ๆ และสื่อสารกับผู้อื่น","4 - 6 ชั่วโมง","ช่วยให้ติดต่อสื่อสารได้สะดวกและบ่อยขึ้น","ไม่มีผลต่อความสัมพันธ์ (เช่น การใช้สมาร์ทโฟนไม่ได้ทำให้ความสัมพันธ์กับเพื่อนหรือครอบครัวดีขึ้นหรือแย่ลง)","ใช่, ใช้สมาร์ทโฟนเพื่อการเรียนรู้หรือพัฒนาทักษะใหม่ ๆ บ่อยครั้ง","มีทั้งผลดีและผลเสีย (เช่น การติดต่อบ่อยขึ้นแต่ก็อาจทำให้การพูดคุยไม่ลึกซึ้ง)","Android (เช่น Samsung, Oppo, Xiaomi เป็นต้น)"
"2025/02/12 6:25:07 AM GMT+7","21","ชาย","ปริญญาตรี","ใช้บ้างในบางวัน ขึ้นอยู่กับสถานการณ์","มากกว่า 10 ชั่วโมง","ช่วยให้ติดต่อสื่อสารได้สะดวกและบ่อยขึ้น","ไม่มีผลต่อความสัมพันธ์ (เช่น การใช้สมาร์ทโฟนไม่ได้ทำให้ความสัมพันธ์กับเพื่อนหรือครอบครัวดีขึ้นหรือแย่ลง)","ใช่, ใช้สมาร์ทโฟนเพื่อการเรียนรู้หรือพัฒนาทักษะใหม่ ๆ บ่อยครั้ง","ส่งผลให้ความสัมพันธ์แย่ลง (เช่น ขาดการสนทนา face-to-face หรือมีปัญหาการเข้าใจซึ่งกันและกัน)","iOS (Apple)"
"2025/02/13 10:10:13 AM GMT+7","19","ชาย","ปริญญาตรี","ใช้หลายครั้งต่อวัน ทั้งในการทำกิจกรรมต่าง ๆ และสื่อสารกับผู้อื่น","7 - 10 ชั่วโมง","ช่วยให้การสื่อสารชัดเจนและเข้าใจง่ายขึ้น","ทำให้ความสัมพันธ์ดีขึ้น (เช่น การสามารถติดต่อสื่อสารได้บ่อยขึ้น หรือสร้างความใกล้ชิดกับคนในครอบครัวและเพื่อน)","ใช่, ใช้สมาร์ทโฟนเพื่อการเรียนรู้หรือพัฒนาทักษะใหม่ ๆ ทุกวัน","มีทั้งผลดีและผลเสีย (เช่น การติดต่อบ่อยขึ้นแต่ก็อาจทำให้การพูดคุยไม่ลึกซึ้ง)","iOS (Apple)"
"2025/02/13 3:29:22 PM GMT+7","20","ชาย","ปริญญาตรี","ใช้บ้างในบางวัน ขึ้นอยู่กับสถานการณ์","1 - 3 ชั่วโมง","ช่วยให้ติดต่อสื่อสารได้สะดวกและบ่อยขึ้น","ทำให้ความสัมพันธ์ดีขึ้น (เช่น การสามารถติดต่อสื่อสารได้บ่อยขึ้น หรือสร้างความใกล้ชิดกับคนในครอบครัวและเพื่อน)","ใช่, ใช้สมาร์ทโฟนเพื่อการเรียนรู้หรือพัฒนาทักษะใหม่ ๆ บ่อยครั้ง","ไม่มีผลต่อความสัมพันธ์หรือการติดต่อสื่อสาร","iOS (Apple)"
"2025/02/13 3:36:05 PM GMT+7","19","ชาย","ปริญญาตรี","ใช้ทุกวัน แต่ไม่ใช่ตลอดเวลา","4 - 6 ชั่วโมง","ช่วยให้การสื่อสารชัดเจนและเข้าใจง่ายขึ้น","ทำให้ความสัมพันธ์ดีขึ้น (เช่น การสามารถติดต่อสื่อสารได้บ่อยขึ้น หรือสร้างความใกล้ชิดกับคนในครอบครัวและเพื่อน)","ใช่, ใช้สมาร์ทโฟนเพื่อการเรียนรู้หรือพัฒนาทักษะใหม่ ๆ บ่อยครั้ง","ส่งผลให้ความสัมพันธ์แย่ลง (เช่น ขาดการสนทนา face-to-face หรือมีปัญหาการเข้าใจซึ่งกันและกัน)","Android (เช่น Samsung, Oppo, Xiaomi เป็นต้น)"
"2025/02/13 4:00:18 PM GMT+7","19","ชาย","มัธยมศึกษาตอนปลาย","ใช้ทุกวัน แต่ไม่ใช่ตลอดเวลา","1 - 3 ชั่วโมง","ช่วยให้การสื่อสารชัดเจนและเข้าใจง่ายขึ้น","ทำให้ความสัมพันธ์ดีขึ้น (เช่น การสามารถติดต่อสื่อสารได้บ่อยขึ้น หรือสร้างความใกล้ชิดกับคนในครอบครัวและเพื่อน)","ใช่, ใช้สมาร์ทโฟนเพื่อการเรียนรู้หรือพัฒนาทักษะใหม่ ๆ ทุกวัน","ส่งผลให้ความสัมพันธ์แย่ลง (เช่น ขาดการสนทนา face-to-face หรือมีปัญหาการเข้าใจซึ่งกันและกัน)","Android (เช่น Samsung, Oppo, Xiaomi เป็นต้น)"